sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
大同,臺北市,62,細懸浮微粒,普通,1.4,2.37,4.7,15.7,32,22,47.6,130,82.3,-,-,"2024/01/09 18:00:00",1.2,19.8,27,1,121.51342074,25.06331455,16
松山,臺北市,43,,良好,0,0.4,21.8,27.5,19,14,26.3,29.5,3.1,0.9,49,"2024/01/09 18:00:00",0.2,13.3,18,0,121.578611,25.05,15
古亭,臺北市,45,,良好,0.7,0.37,22.1,20.6,18,10,27.8,34,6.2,1.7,60,"2024/01/09 18:00:00",0.3,12.5,19,0,121.529556,25.020608,14
萬華,臺北市,54,二氧化氮,普通,1.3,0.55,16.5,24.5,20,13,35.1,39,3.8,0.3,104,"2024/01/09 18:00:00",0.4,12.6,23,1,121.507972,25.046503,13
中山,臺北市,54,二氧化氮,普通,0.9,0.57,13.8,19.6,22,12,35.4,44.9,9.5,0.2,136,"2024/01/09 18:00:00",0.5,13.7,23,0,121.526528,25.062361,12
士林,臺北市,39,,良好,0.7,0.33,32.5,33.6,21,11,13.8,14,0.2,0.3,322,"2024/01/09 18:00:00",0.2,12.1,24,,121.51666356,25.10334003,11
淡水,新北市,38,,良好,0.9,0.28,40,41,11,7,6.8,8,1.2,,,"2024/01/09 18:00:00",0.2,8.5,14,0,121.449239,25.1645,10
林口,新北市,33,,良好,0.5,0.26,36.3,36.6,17,8,10.2,11.6,1.3,1.7,43,"2024/01/09 18:00:00",0.2,7.5,13,0,121.36548982,25.07798949,9
菜寮,新北市,40,,良好,0.8,0.47,29.8,34.7,21,11,20.7,22,1.3,0.8,280,"2024/01/09 18:00:00",0.3,12.2,21,1,121.481028,25.06895,8
新莊,新北市,33,,良好,0.6,0.3,35.6,36.4,20,8,11.6,12.5,0.8,1.8,17,"2024/01/09 18:00:00",0.2,9.2,16,0,121.4325,25.037972,7
板橋,新北市,36,,良好,1,0.51,29.9,30.9,16,13,19.7,21,1.3,1.1,319,"2024/01/09 18:00:00",0.3,11,21,1,121.458667,25.012972,6
土城,新北市,51,細懸浮微粒,普通,1.1,0.46,29,32.4,25,19,20.7,21.7,0.9,0.6,134,"2024/01/09 18:00:00",0.3,15.7,23,1,121.451861,24.982528,5
新店,新北市,47,,良好,0.8,0.39,35.2,31.6,18,13,16.3,17.7,1.4,1.6,93,"2024/01/09 18:00:00",0.3,14.4,18,0,121.537778,24.977222,4
萬里,新北市,39,,良好,0.4,0.22,40.5,42.7,21,5,5.2,6,0.8,1.4,349,"2024/01/09 18:00:00",0.2,6.2,21,0,121.689881,25.179667,3
汐止,新北市,37,,良好,0.4,0.33,30.6,31.3,18,12,15.8,17.3,1.4,1.2,75,"2024/01/09 18:00:00",0.2,11.5,16,0,121.64081,25.06624,2
基隆,基隆市,33,,良好,1.3,0.36,,,14,14,18.5,19.3,0.8,0.4,345,"2024/01/09 18:00:00",0.2,10.3,14,1,121.760056,25.129167,1
